PartNum,TotalSpend,CumSpend,CumSpend_Pct,ABC,XYZ,ABCXYZ
TRK9257,115961.12,59792633.99763199,49.62204247471063,A,Z,AZ
6603150,115388.0,59908021.99763199,49.71780323743767,A,X,AX
TRK9206,115310.0,60023331.99763199,49.81349926778792,A,Z,AZ
TRK9326,114776.0,60138107.99763199,49.90875213032786,A,Z,AZ
6500457,114515.0,60252622.99763199,50.00378838837625,A,X,AX
6400784,114459.0,60367081.99763199,50.098778171897706,A,Z,AZ
TRK9250,114309.0,60481390.99763199,50.19364347007919,A,Z,AZ
TRK9244,114252.0,60595642.99763199,50.28846146383148,A,Z,AZ
TRK9243,114252.0,60709894.99763199,50.383279457583775,A,Z,AZ
q741110062-7,114235.8,60824130.79763199,50.478084006919346,A,Y,AY
TRK9249,113969.0,60938099.79763199,50.57266713833022,A,Z,AZ
TRK9248,113969.0,61052068.79763199,50.667250269741096,A,Z,AZ
TRK9245,113969.0,61166037.79763199,50.76183340115197,A,Z,AZ
TRK9246,113969.0,61280006.79763199,50.85641653256284,A,Z,AZ
TRK9247,113969.0,61393975.79763199,50.95099966397372,A,Z,AZ
TRK9236,113969.0,61507944.79763199,51.04558279538459,A,Z,AZ
TRK9293,113926.0,61621870.79763199,51.140130240998005,A,Z,AZ
TRK9290,113926.0,61735796.79763199,51.23467768661142,A,Z,AZ
TRK9291,113926.0,61849722.79763199,51.329225132224835,A,Z,AZ
TRK9288,113926.0,61963648.79763199,51.42377257783824,A,Z,AZ
TRK9287,113926.0,62077574.79763199,51.51832002345166,A,Z,AZ
TRK9289,113926.0,62191500.79763199,51.61286746906507,A,Z,AZ
TRK9284,113926.0,62305426.79763199,51.70741491467849,A,Z,AZ
TRK9292,113926.0,62419352.79763199,51.801962360291895,A,Z,AZ
TRK9235,113708.0,62533060.79763199,51.89632888721122,A,Z,AZ
TRK9233,113708.0,62646768.79763199,51.99069541413054,A,Z,AZ
TRK9207,113708.0,62760476.79763199,52.08506194104985,A,Z,AZ
TRK9220,113708.0,62874184.79763199,52.17942846796917,A,Z,AZ
TRK9219,113708.0,62987892.79763199,52.27379499488849,A,Z,AZ
TRK9212,113708.0,63101600.79763199,52.3681615218078,A,Z,AZ
TRK9213,113708.0,63215308.79763199,52.46252804872712,A,Z,AZ
TRK9214,113708.0,63329016.79763199,52.55689457564644,A,Z,AZ
TRK9234,113708.0,63442724.79763199,52.65126110256575,A,Z,AZ
TRK9211,113708.0,63556432.79763199,52.74562762948507,A,Z,AZ
TRK9209,113708.0,63670140.79763199,52.83999415640439,A,Z,AZ
TRK9216,113708.0,63783848.79763199,52.9343606833237,A,Z,AZ
TRK9217,113708.0,63897556.79763199,53.02872721024302,A,Z,AZ
TRK9210,113708.0,64011264.79763199,53.12309373716234,A,Z,AZ
TRK9208,113708.0,64124972.79763199,53.21746026408165,A,Z,AZ
TRK9221,113708.0,64238680.79763199,53.31182679100097,A,Z,AZ
TRK9215,113708.0,64352388.79763199,53.40619331792029,A,Z,AZ
TRK9218,113708.0,64466096.79763199,53.5005598448396,A,Z,AZ
TRK9232,113708.0,64579804.79763199,53.59492637175892,A,Z,AZ
6304228,112608.0,64692412.79763199,53.688380006185085,A,X,AX
TRK9286,111861.0,64804273.79763199,53.78121370361818,A,Z,AZ
TRK9204,111748.0,64916021.79763199,53.87395362209515,A,Z,AZ
TRK9205,111748.0,65027769.79763199,53.966693540572116,A,Z,AZ
TRK9229,111258.0,65139027.79763199,54.05902680693851,A,Z,AZ
TRK9228,111258.0,65250285.79763199,54.1513600733049,A,Z,AZ
TRK9227,111258.0,65361543.79763199,54.243693339671296,A,Z,AZ
TRK9231,111258.0,65472801.79763199,54.33602660603768,A,Z,AZ
TRK9230,111258.0,65584059.79763199,54.428359872404066,A,Z,AZ
TRK9226,111258.0,65695317.79763199,54.52069313877046,A,Z,AZ
6603242,110813.06,65806130.85763199,54.61265714842239,A,Y,AY
6704636,110641.65,65916772.50763199,54.70447890452682,A,Y,AY
6605038,109853.70000000001,66026626.20763199,54.795646739140366,A,X,AX
TRK9253,109113.0,66135739.20763199,54.886199865145116,A,Z,AZ
TRK9265,109060.0,66244799.20763199,54.97670900632973,A,Z,AZ
TRK9277,109060.0,66353859.20763199,55.06721814751435,A,Z,AZ
TRK9268,109060.0,66462919.20763199,55.157727288698965,A,Z,AZ
TRK9263,109060.0,66571979.20763199,55.24823642988359,A,Z,AZ
TRK9317,109060.0,66681039.20763199,55.3387455710682,A,Z,AZ
TRK9316,109060.0,66790099.20763199,55.42925471225283,A,Z,AZ
TRK9276,109060.0,66899159.20763199,55.51976385343744,A,Z,AZ
TRK9278,109060.0,67008219.20763199,55.610272994622065,A,Z,AZ
TRK9274,109060.0,67117279.20763199,55.70078213580668,A,Z,AZ
TRK9272,109060.0,67226339.20763199,55.79129127699131,A,Z,AZ
6600349,108941.58,67335280.78763199,55.881702141149525,A,Y,AY
TRK9264,108718.0,67443998.78763199,55.971927455758994,A,Z,AZ
TRK9266,108718.0,67552716.78763199,56.06215277036847,A,Z,AZ
TRK9273,108718.0,67661434.78763199,56.15237808497795,A,Z,AZ
TRK9275,108718.0,67770152.78763199,56.24260339958742,A,Z,AZ
5018703,107342.4,67877495.187632,56.33168710063911,A,X,AX
7/26/24 Quote,106827.0,67984322.187632,56.42034307006263,A,Z,AZ
TRK9270,106802.0,68091124.187632,56.50897829192949,A,Z,AZ
TRK9271,106644.0,68197768.187632,56.59748238923824,A,Z,AZ
6453913,106296.0,68304064.187632,56.685697680558256,A,Y,AY
6319120-1,105980.68,68410044.867632,56.773651287095596,A,X,AX
