PartNum,StdDailyDemand,MeanDailyDemand,stddev_method,TransactionDays,LeadTimeDays,lead_time_source,ABC,safety_stock
0326753,0.0,0.016246953696181964,estimated,1,21.0,actual,C,0
0326759,0.0,0.016246953696181964,estimated,1,21.0,actual,C,0
0326796,0.0,0.008123476848090982,estimated,1,21.0,actual,C,0
0326799,0.0,0.03249390739236393,estimated,2,21.0,actual,C,0
0326801,1.1473301592351046,0.06904955320877336,empirical,5,21.0,actual,C,7
0326803,2.5,0.08935824532900082,estimated,4,21.0,actual,C,15
0326811,0.0,0.016246953696181964,estimated,1,21.0,actual,C,0
0326813,0.5,0.006498781478472786,estimated,2,21.0,actual,C,3
0326912,0.0,0.004061738424045491,estimated,1,21.0,actual,C,0
0326913,0.0,0.004061738424045491,estimated,1,21.0,actual,C,0
0327980,2.5,0.024370430544272948,estimated,2,21.0,actual,C,15
0330153,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0330166,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0332281001,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
03322820001,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0332282001,0.25,0.004061738424045491,estimated,2,21.0,actual,C,2
0332641000,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0333-0356,0.0,0.03249390739236393,estimated,2,21.0,actual,C,0
0334 327 001,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0334 328 001,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0334 329 001,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0334 330 880,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0338174,0.0,0.0016246953696181965,estimated,1,21.0,actual,C,0
0339720001,0.25,0.008123476848090982,estimated,3,21.0,actual,B,2
034011,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
034012,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0342917,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0342918,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0342919,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0342920,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0342921,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0342922,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0342923,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
0342924,0.0,0.0008123476848090983,estimated,1,21.0,actual,C,0
